note_id,raw_note,gratitude_type,time_of_event
249,carlos,specific friend,
250,my mom,parent,
251,the gym,exercise,
252,my mom,parent,
253,books,education,
254,movies,entertainment,
255,carl,specific friend,
256,going out,fun,
257,music,fun,
258,psychologists,education,
259,my tia mari and fam,specific family,
260,food at work,fun,
261,rest,sleeping,
262,my mom,parent,
263,my dad,parent,
264,raise,material,
265,my job,career,
266,my friends,friends,
267,my mom,parent,
268,my supervisors,career,
269,old friends,friends,
270,new oppurtunities,career,
271,my mom,parent,
272,my family,family,
273,friday,weekend,
274,travel day,travel,09/05/2021
275,everyone around me,family,
276,being home,home,
277,my friends,friends,
278,mom,parent,
279,being alive,new day,
280,my friends,friends,
281,my bed,sleeping,
282,God,faith,
283,carl,specific friend,
284,my mom,parent,
285,God,faith,
286,friday,weekend,
287,family,family,
288,carl,specific friend,
289,my friends,friends,
290,family,family,
291,good weekends,weekend,
292,good food,fun,
293,new week,new day,
294,new books,education,
295,football,sports,
296,good sleep,sleeping,
297,my mom,parent,
298,my family,family,
299,my friends,friends,
300,my dad,parent,
301,my mom,parent,
302,my friends,friends,
303,my home,home,
304,my life,myself,
305,oppurtunities,career,
306,my parents,parent,
307,my friends,friends,
308,friday benders,fun,
309,being safe,safety,
310,another week,new day,
311,football,sports,
312,no more pain,mental health,
313,my mom,parent,
314,my bed,sleeping,
315,my mom,parent,
316,my dad,parent,
317,medicine,health,
318,baseball ,sports,
319,my mom,parent,
320,my house,home,
321,my mom,parent,
322,traveling,travel,
323,fridays,weekend,
324,fresh start,new day,
325,my friends,friends,
326,football,sports,
327,sleep,sleeping,
328,my job,career,
329,my life,myself,
330,school,education,
331,books,education,
332,myself,myself,
333,work,career,
334,my friends,friends,
335,myself,myself,
336,my friends,friends,
337,myself,myself,
338,my mom,parent,
339,carlos,specific friend,
340,saturdays,weekend,
341,fun,fun,
342,my mom ,parent,
343,my friends,friends,
344,medicine,health,
345,my mom,parent,
346,God,faith,
347,my life,myself,
348,my mom,parent,
349,medicine,health,
350,God,faith,
351,medicine,health,
352,God,faith,
353,my bed,sleeping,
354,my friends,friends,
355,my job,career,
356,my family,family,
357,my mom,parent,
358,my cuñada,specific family,
359,my family,family,
360,days off,weekend,
361,birthday week,myself,10/16/2021
362,short week,weekend,
363,my brother,sibling,
364,my mom,parent,
365,patience,mental health,
366,medicine,health,
367,wfh,work from home,
368,my job,career,
369,my family,family,
370,marlyn,specific friend,
371,stephanie ,specific friend,
372,everyone,friends,
373,my family,family,
374,my friends,friends,
375,God,faith,
376,a fresh start,new day,
377,everyone,friends,
378,my life,myself,
379,this time,new day,
380,my job,career,
381,my health,health,
382,my family,family,
383,God,faith,
384,my mom,parent,
385,work,career,
386,my friends,friends,
387,myself,myself,
388,my job,career,
389,carlos,specific friend,
390,fern,specific friend,
391,punchbowl,fun,
392,good sleep,sleeping,
393,warm house,home,
394,a new week,new day,
395,piano,material,
396,friends,friends,
397,family,family,
398,my mom,parent,
399,wfh,work from home,
